,precision,recall,f1-score,support
ACADEMIC_STRESS,0.125,0.09090909090909091,0.10526315789473684,11.0
ACADEMIC_SUCCESS,0.4,0.2857142857142857,0.3333333333333333,14.0
CAMPUS_RESOURCE_REQUEST,0.7857142857142857,0.7857142857142857,0.7857142857142857,14.0
CAMPUS_SAFETY_INJUSTICE,1.0,0.07142857142857142,0.13333333333333333,14.0
DAILY_CAMPUS_LOGISTICS,0.42857142857142855,0.42857142857142855,0.42857142857142855,14.0
FINAL_PAPER_RELIEF,0.21428571428571427,0.5,0.3,12.0
FINANCIAL_STRESS,0.0,0.0,0.0,6.0
FOOD_AND_CANTEEN,1.0,0.15384615384615385,0.26666666666666666,13.0
LECTURE_MANAGEMENT,0.47368421052631576,0.6428571428571429,0.5454545454545454,14.0
PERSONAL_WIN,0.2727272727272727,0.25,0.2608695652173913,12.0
SOCIAL_EVENT,0.12121212121212122,0.4,0.18604651162790697,10.0
SOCIAL_ISOLATION,0.0,0.0,0.0,6.0
accuracy,0.3357142857142857,0.3357142857142857,0.3357142857142857,0.3357142857142857
macro avg,0.4017662527530948,0.30075341325341326,0.27877106898446896,140.0
weighted avg,0.46187754288318195,0.3357142857142857,0.3170368448006679,140.0
